star,n_obs,span_years,split_idx,best_combo,rho_mid_years,Q_mid,n_cycles_obs,is_const,aleatoric_frac_at_t0,valid_metric_value,lookahead_years,t0_year,gpr_med,gpr_lb68,gpr_ub68,gpr_lb95,gpr_ub95,truth_med,truth_lb,truth_ub,error,abs_error,in_68,in_95,gpr_width_68,truth_width,sampling_rate_days
sim0000_ME,1801.0,29.99726201232056,0.0,2sm,2.402629041399281,4.999999999999999,12.485182479460201,True,0.9998878386454969,35.63713895220612,1.0,1993.081953045859,1993.896463655031,1993.814328131417,1993.896463655031,1993.814328131417,1993.978599178645,1993.878325967433,1993.878325967433,1993.878325967433,0.018137687598027696,0.018137687598027696,True,True,0.08213552361416987,0.0,1.0
sim0000_ME,1801.0,29.99726201232056,0.0,2sm,2.402629041399281,4.999999999999999,12.485182479460201,True,0.9998878386454969,35.63713895220612,2.0,1993.081953045859,1993.896463655031,1993.814328131417,1993.896463655031,1993.814328131417,1993.978599178645,1994.4035406599942,1994.4035406599942,1994.4035406599942,-0.5070770049630937,0.5070770049630937,False,False,0.08213552361416987,0.0,1.0
sim0000_ME,1801.0,29.99726201232056,0.0,2sm,2.402629041399281,4.999999999999999,12.485182479460201,True,0.9998878386454969,35.63713895220612,3.0,1993.081953045859,1993.896463655031,1993.814328131417,1993.896463655031,1993.814328131417,1993.978599178645,1994.4035406599942,1994.4035406599942,1994.4035406599942,-0.5070770049630937,0.5070770049630937,False,False,0.08213552361416987,0.0,1.0
sim0000_ME,1801.0,29.99726201232056,0.0,2sm,2.402629041399281,4.999999999999999,12.485182479460201,True,0.9998878386454969,35.63713895220612,4.0,1993.081953045859,1993.896463655031,1993.814328131417,1993.896463655031,1993.814328131417,1993.978599178645,1994.4035406599942,1994.4035406599942,1994.4035406599942,-0.5070770049630937,0.5070770049630937,False,False,0.08213552361416987,0.0,1.0
sim0000_ME,1801.0,29.99726201232056,0.0,2sm,2.402629041399281,4.999999999999999,12.485182479460201,True,0.9998878386454969,35.63713895220612,5.0,1993.081953045859,1993.896463655031,1993.814328131417,1993.896463655031,1993.814328131417,1993.978599178645,1994.4035406599942,1994.4035406599942,1994.4035406599942,-0.5070770049630937,0.5070770049630937,False,False,0.08213552361416987,0.0,1.0
sim0000_ME,1801.0,29.99726201232056,0.0,2sm,2.402629041399281,4.999999999999999,12.485182479460201,True,0.9998878386454969,35.63713895220612,6.0,1993.081953045859,1993.896463655031,1993.814328131417,1993.896463655031,1993.814328131417,1993.978599178645,1994.4035406599942,1994.4035406599942,1994.4035406599942,-0.5070770049630937,0.5070770049630937,False,False,0.08213552361416987,0.0,1.0
sim0000_ME,1801.0,29.99726201232056,0.0,2sm,2.402629041399281,4.999999999999999,12.485182479460201,True,0.9998878386454969,35.63713895220612,7.0,1993.081953045859,1993.896463655031,1993.814328131417,1993.896463655031,1993.814328131417,1993.978599178645,1999.3105465019305,1999.3105465019305,1999.3105465019305,-5.414082846899419,5.414082846899419,False,False,0.08213552361416987,0.0,1.0
sim0000_ME,1801.0,29.99726201232056,0.0,2sm,2.402629041399281,4.999999999999999,12.485182479460201,True,0.9998878386454969,35.63713895220612,8.0,1993.081953045859,1993.896463655031,1993.814328131417,1993.896463655031,1993.814328131417,1993.978599178645,1999.3105465019305,1999.3105465019305,1999.3105465019305,-5.414082846899419,5.414082846899419,False,False,0.08213552361416987,0.0,1.0
sim0000_ME,1801.0,29.99726201232056,0.0,2sm,2.402629041399281,4.999999999999999,12.485182479460201,True,0.9998878386454969,35.63713895220612,9.0,1993.081953045859,1993.896463655031,1993.814328131417,1993.896463655031,1993.814328131417,1993.978599178645,1999.3105465019305,1999.3105465019305,1999.3105465019305,-5.414082846899419,5.414082846899419,False,False,0.08213552361416987,0.0,1.0
sim0000_ME,1801.0,29.99726201232056,0.0,2sm,2.402629041399281,4.999999999999999,12.485182479460201,True,0.9998878386454969,35.63713895220612,10.0,1993.081953045859,1993.896463655031,1993.814328131417,1993.896463655031,1993.814328131417,1993.978599178645,1999.3105465019305,1999.3105465019305,1999.3105465019305,-5.414082846899419,5.414082846899419,False,False,0.08213552361416987,0.0,1.0
