file,type,mu,mu_std,C,C_std,A,A_std
HD160346_Mt_wilson_data.txt,maximum,1789.2260502237602,20.628720167929476,0.36818137745168905,0.00361871231886074,1.6292184800011534e-07,2.9402497036527284e-08
HD160346_Mt_wilson_data.txt,maximum,4451.047363204257,38.79452061239797,0.3331002090816719,0.0020396952237844105,1.1184526621484989e-07,1.0399727946926851e-08
HD160346_Mt_wilson_data.txt,maximum,6582.59240880006,85.87647045129489,0.3167832736757603,0.001490633703853274,5.549560954337184e-08,1.152696449524104e-08
HD160346_Mt_wilson_data.txt,maximum,9422.931658284262,237.16957819742453,0.34676179944197616,0.004537171127760494,5.2986242503855577e-08,3.1609483084619406e-08
HD160346_Mt_wilson_data.txt,minimum,3234.814760586062,11.652770233353042,0.2535446324916778,0.0026318426339135216,1.9515042595907378e-07,2.2010544475542817e-08
HD160346_Mt_wilson_data.txt,minimum,5742.63808596578,10.179643673105593,0.25463083682684845,0.0009284649403868535,9.592354302568495e-08,7.0742153657011124e-09
HD160346_Mt_wilson_data.txt,minimum,8298.586950965208,16.758934395579068,0.23888397099250044,0.0010033088173526518,7.307382072332513e-08,6.08168614342325e-09
HD201091_Mt_wilson_data.txt,maximum,1815.1764448401025,185.87088051076114,0.828751755287282,0.011661894483380258,1.7768492189655676e-07,7.473405959752973e-08
HD201091_Mt_wilson_data.txt,maximum,4755.049186753061,17.331230412520622,0.7032395949826522,0.0016879167601821995,4.274773375774734e-07,3.470648910570425e-08
HD201091_Mt_wilson_data.txt,maximum,7732.57714024479,46.0184914809117,0.6949503779660434,0.0032688459076039133,9.07047574001025e-08,2.442705880460815e-08
HD201091_Mt_wilson_data.txt,minimum,991.2766778051974,20.310546395255137,0.5999146487248416,0.006774470094720781,3.801328330499641e-07,4.732624862314728e-08
HD201091_Mt_wilson_data.txt,minimum,3564.2816653995515,32.0635839587725,0.5649393538033054,0.00588875831324274,2.661236651483079e-07,4.472267974460015e-08
HD201091_Mt_wilson_data.txt,minimum,6502.07172895224,18.28523561089421,0.5290413319733654,0.0020542138488739946,2.889808243748723e-07,1.9981085173088634e-08
HD201091_Mt_wilson_data.txt,minimum,8857.653770603783,8.893748872083323,0.5779351743243112,0.003303747708393095,2.470884502201083e-07,2.5078179578353685e-08
HD81809_Mt_wilson_data.txt,maximum,3652.548966682744,152.90409527975865,0.182656439110432,0.001658135232887957,4.601955312764103e-08,3.5801804253634496e-08
HD81809_Mt_wilson_data.txt,maximum,6409.608238039558,25.61996988390624,0.1849577144526189,0.0006393043867981975,2.8857170452209102e-08,4.676750033036343e-09
HD81809_Mt_wilson_data.txt,maximum,9377.438738408746,44.36794422001015,0.1811544485725998,0.0004358832368674007,1.8289903553568287e-08,4.825908871008693e-09
HD81809_Mt_wilson_data.txt,minimum,2180.1600152652827,18.407471113804068,0.15208356028938128,0.001042039404620884,5.278437652359956e-08,9.184244176267253e-09
HD81809_Mt_wilson_data.txt,minimum,5154.866358100415,23.55254390967104,0.15961257965571987,0.0008912191852644985,5.439788217470681e-08,6.508059051538703e-09
HD81809_Mt_wilson_data.txt,minimum,8439.954574820156,288.08654427276394,0.16131029638197414,0.0007514416786757318,7.191246721529163e-09,4.59625502223311e-09
hd10072_caii.txt,maximum,2822.3166039768657,46.53452629294698,0.4543992552414944,0.0046131108503816775,1.5203121411655094e-07,5.9541110090943193e-08
hd10780_caii.txt,maximum,2553.4243028629785,13.55192963238069,0.33466027203075,0.001657382182923525,2.8765435918135097e-07,1.5325320839809655e-08
hd10780_caii.txt,maximum,3502.8539971919736,10.482828578620456,0.3380287318030822,0.0018818735714397601,3.2480387163786405e-07,2.323473056230403e-08
hd10780_caii.txt,minimum,1697.4993468846665,37.34315304268735,0.23376298631260625,0.002014856012102478,8.494591773136284e-08,1.6816414332574404e-08
hd10780_caii.txt,minimum,3017.3516380163273,3.413393553452716,0.27610678315728815,0.001858273539178862,4.1689108127224626e-07,1.4770583857865076e-08
hd16160_caii.txt,maximum,5498.149536644714,7.091419085355838,0.2616487595283565,0.0010890271025698708,1.5828048501470965e-07,8.881628328123347e-09
hd16160_caii.txt,maximum,9806.510595807778,54.00322344643293,0.2533006229902324,0.002013290145111339,1.2343334376616133e-07,6.41884314013292e-08
hd16160_caii.txt,minimum,3715.5247999999197,659.5430871498834,0.19572576466307068,0.003365404454353619,1.2148286819578197e-08,1.6424096354868837e-08
hd16160_caii.txt,minimum,7832.647561908107,68.31456511183775,0.19801495228228802,0.0007720168071214095,2.1730121297962023e-08,7.185613414536801e-09
hd17925_caii.txt,minimum,4175.744249848356,161.33821218460676,0.6145301414429524,0.0052750693540996475,3.271355371137752e-08,2.8339057550317278e-08
hd20630_caii.txt,maximum,4332.920748098364,37.274609638623886,0.3654554824447553,0.0018874559618292479,8.59913192843926e-08,1.4829010358219393e-08
hd20630_caii.txt,maximum,6144.222436403503,25.780037508839307,0.3567381494313727,0.0008308497120421673,7.233242914998204e-08,9.408915667757618e-09
hd20630_caii.txt,maximum,8052.128310710487,225.8410437299431,0.36894907151541556,0.0016023687643129966,2.1657494326547108e-08,1.1589073088061347e-08
hd20630_caii.txt,minimum,3523.3897758346275,94.00747912174285,0.3313832206044742,0.005959187220338126,6.63303888183474e-08,3.7331176684511804e-08
hd20630_caii.txt,minimum,5263.86836569926,22.273718398181774,0.3335976658863537,0.000948251210863638,6.329737138388691e-08,7.433697248599328e-09
hd20630_caii.txt,minimum,7242.644194711476,19.22114998720998,0.3318223429598866,0.0009068148433632684,5.713144650544876e-08,7.496722352784804e-09
hd20630_caii.txt,minimum,9581.894059307604,18.995596918678075,0.32469952885324216,0.0013936395813790585,7.025456308019513e-08,1.140315800968607e-08
hd22049_caii.txt,maximum,8983.308970579898,14.295758524719277,0.5230025689446917,0.00254040533989764,1.78112955383328e-07,1.3728505975789323e-08
hd22049_caii.txt,minimum,7713.07680000024,526.1355745183423,0.4422125693599739,0.0021037658817214316,1.1047875761593517e-08,1.3957463128876001e-08
