2439342.80000	0.3891
2439670.80000	0.3242
2439694.80000	0.3206
2440045.80000	0.2739
2440046.80000	0.2766
2440047.80000	0.276
2440048.80000	0.2799
2440078.80000	0.2782
2440079.80000	0.2767
2440339.80000	0.2612
2440340.80000	0.2644
2440405.80000	0.274
2440406.80000	0.2734
2440407.80000	0.275
2440438.80000	0.277
2440439.80000	0.2738
2440440.80000	0.2744
2440454.80000	0.2702
2440455.80000	0.2742
2440457.80000	0.2758
2440685.80000	0.344
2440687.80000	0.3386
2440726.80000	0.3561
2440727.80000	0.3491
2440728.80000	0.3585
2440729.80000	0.3414
2440760.80000	0.3563
2440761.80000	0.3569
2440762.80000	0.3567
2440777.80000	0.3458
2440778.80000	0.3469
2440779.80000	0.3538
2440780.80000	0.327
2440810.80000	0.3423
2440811.80000	0.343
2440812.80000	0.3367
2441027.80000	0.3325
2441051.80000	0.3299
2441052.80000	0.3366
2441053.80000	0.3329
2441083.80000	0.3306
2441084.80000	0.3385
2441085.80000	0.3394
2441113.80000	0.3427
2441114.80000	0.3257
2441133.80000	0.3473
2441134.80000	0.3559
2441135.80000	0.3567
2441136.80000	0.3649
2441168.80000	0.3802
2441169.80000	0.3706
2441170.80000	0.3668
2441199.80000	0.3653
2441201.80000	0.3551
2441202.80000	0.3602
2441399.80000	0.3742
2441400.80000	0.3698
2441401.80000	0.3598
2441428.80000	0.3832
2441429.80000	0.3811
2441430.80000	0.3863
2441459.80000	0.3676
2441460.80000	0.3753
2441461.80000	0.3732
2441487.80000	0.3746
2441488.80000	0.3722
2441502.80000	0.3728
2441503.80000	0.3776
2441554.80000	0.3416
2441763.80000	0.3338
2441764.80000	0.3595
2441765.80000	0.3434
2441786.80000	0.2976
2441787.80000	0.3266
2441788.80000	0.3255
2441819.80000	0.336
2441820.80000	0.3307
2441821.80000	0.3314
2441822.80000	0.3306
2441835.80000	0.3455
2441836.80000	0.3597
2441884.80000	0.3374
2441885.80000	0.3401
2441886.80000	0.3509
2441909.80000	0.3486
2441910.80000	0.3567
2441911.80000	0.3565
2441942.80000	0.3316
2441943.80000	0.3403
2441944.80000	0.352
2441945.80000	0.3383
2442110.80000	0.353
2442147.80000	0.3415
2442148.80000	0.3383
2442166.80000	0.3392
2442167.80000	0.3269
2442168.80000	0.3432
2442169.80000	0.3425
2442208.80000	0.3309
2442210.80000	0.3402
2442218.80000	0.3414
2442219.80000	0.3412
2442220.80000	0.3487
2442259.80000	0.3119
2442260.80000	0.3056
2442261.80000	0.289
2442282.80000	0.3159
2442283.80000	0.3117
2442284.80000	0.3027
2442285.80000	0.3078
2442468.80000	0.2984
2442469.80000	0.2997
2442470.80000	0.3001
2442497.80000	0.2741
2442525.80000	0.284
2442557.80000	0.2669
2442558.80000	0.2725
2442559.80000	0.2761
2442560.80000	0.2782
2442590.80000	0.2667
2442591.80000	0.2739
2442592.80000	0.271
2442613.80000	0.2647
2442614.80000	0.271
2442615.80000	0.266
2442616.80000	0.2674
2442644.80000	0.2699
2442645.80000	0.2731
2442646.80000	0.2711
2442647.80000	0.2777
2442849.80000	0.2494
2442850.80000	0.2481
2442851.80000	0.2462
2442910.80000	0.2574
2442911.80000	0.2483
2442912.80000	0.2542
2442913.80000	0.2462
2442939.80000	0.2518
2442940.80000	0.2527
2442973.80000	0.2589
2442974.80000	0.2513
2442975.80000	0.248
2443025.80000	0.2483
2443204.80000	0.2801
2443205.80000	0.2789
2443206.80000	0.2743
2443235.80000	0.2738
2443236.80000	0.2912
